country_code,country_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Jan-Oct 18,Jan-Oct 19
6150,Western Samoa,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,
3570,Argentina,,,,,,,,1,,,,,,,,,,,,,,,,,,40,,,
5570,Malaysia,,,,,,,,,,,,,,,,,,,,,,,22,,1,6,,,
2440,Cayman Islands,,,,,,,,,1,,4,18,,,,,,,,,,,,,,,,,
4091,Faroe Islands,,,,,,,,,,,,,,,,,,,7,,,,,10,,,,,
3070,Venezuela,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
7780,Uganda,,,,,,,,5,,,9,,,,,,,,,,,,,,,,,,
4120,United Kingdom,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
5880,Japan,,,,,,,,,,,,1,,,,0,,,,,,,,,,,6,,15
7910,Republic of South Africa,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
7830,Tanzania,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
2740,Trinidad and Tobago,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
3150,Suriname,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
7790,Kenya,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
2489,Grenada,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
4700,Spain,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
7800,Seychelles,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2470,Dominican Republic,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
4759,Italy,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,"Total
 ",476,"1,292","1,963","3,220","4,549","6,224","7,914","11,706","16,539","22,632","31,226","39,564","42,730","50,201","50,933","57,703","57,501","53,700","52,297","53,758","54,888","60,126","57,011","56,562","55,105","54,316","51,839","44,187","40,747"
5700,China (Mainland),,,,154,36,,84,"1,652","3,991","5,575","13,285","34,966","61,897","97,384","139,529","193,141","198,910","222,022","298,904","261,612","330,415","316,915","325,461","308,926","256,619","241,696","248,159","184,247","162,483"
5600,Indonesia,30,536,880,"1,201","1,276","2,415","1,952","2,527","2,685","4,804","5,671","7,899","9,371","14,172","15,665","19,028","21,228","19,308","22,491","20,298","26,265","26,017","25,592","22,991","17,056","15,530","12,642","10,955","13,978"
5830,China (Taiwan),163,373,"3,412","1,770","1,338","1,857","2,942","6,076","3,815","4,703","6,087","5,445","5,953","6,793","6,916","5,643","4,604","5,142","4,957","3,030","3,858","3,309","2,394","4,364","4,132","4,378","3,266","2,291","2,884"
5490,Thailand,119,364,691,932,490,494,304,253,393,461,753,"2,072","1,618","1,917",436,30,970,"1,497","2,327","2,909","5,360","3,214","3,276","2,543","1,917",720,,,
2010,Mexico,,14,3,,,,,14,,,,,,,11,,,,,,,48,"2,033","4,667","3,890","1,403","3,547","3,004","4,559"
3310,Ecuador,,,13,390,252,238,176,124,376,308,599,411,379,588,411,792,"1,050","2,465","1,407","1,104","2,074","1,579",186,191,67,92,,,
2150,Honduras,,,3,,19,15,103,44,,,,,,,4,"1,559",353,"1,333",239,115,419,152,"1,191","2,175",618,695,"1,751","1,190","2,930"
5570,Malaysia,,,,,,,,,,,,,,4,,,15,,705,"1,692","1,539",279,715,678,"1,221",701,890,671,553
5520,Vietnam,,,,,,,,2,40,117,234,161,40,793,84,165,23,344,496,359,161,75,"1,710",778,490,671,202,194,404
2250,Panama,,,,,,,,1,,,106,92,208,413,463,493,907,603,427,122,147,125,154,121,179,144,40,27,46
